tournament_id	capture_key	name	class	queue_priority	basis
406	SS-406	Liga 1 Te Apuesto	core	1	G1:CORE взрослые мужские
410	SS-410	K League 1	core	1	G1:CORE взрослые мужские
436	SS-436	Olympic Games	core	1	G1:CORE взрослые мужские
445	SS-445	ÖFB Cup	core	1	G1:CORE взрослые мужские
463	SS-463	AFC Champions League Elite	core	1	G1:CORE взрослые мужские
465	SS-465	UEFA Super Cup	core	1	G1:CORE взрослые мужские
480	SS-480	CONMEBOL Sudamericana	core	1	G1:CORE взрослые мужские
482	SS-482	Canadian Soccer League	core	1	G1:CORE взрослые мужские
490	SS-490	CONMEBOL Recopa	core	1	G1:CORE взрослые мужские
491	SS-491	3. Liga	core	1	G1:CORE взрослые мужские
495	SS-495	US Open Cup	core	1	G1:CORE взрослые мужские
498	SS-498	CONCACAF Champions Cup	core	1	G1:CORE взрослые мужские
504	SS-504	Icelandic Men's Football Cup	core	1	G1:CORE взрослые мужские
505	SS-505	TFF Süper Kupa	core	1	G1:CORE взрослые мужские
510	SS-510	Bulgarian Supercup	core	1	G1:CORE взрослые мужские
511	SS-511	Superpuchar Polski	core	1	G1:CORE взрослые мужские
515	SS-515	Betclic 2. Liga	core	1	G1:CORE взрослые мужские
532	SS-532	2. SNL	core	1	G1:CORE взрослые мужские
544	SS-544	Segunda Federación	core	1	G1:CORE взрослые мужские
550	SS-550	Cypriot Super Cup	core	1	G1:CORE взрослые мужские
562	SS-562	Liga 2 Casa Pariurilor	core	1	G1:CORE взрослые мужские
578	SS-578	Belarus Cup	core	1	G1:CORE взрослые мужские
583	SS-583	Bosnia & Herzegovina Cup	core	1	G1:CORE взрослые мужские
594	SS-594	New Zealand National League	core	1	G1:CORE взрослые мужские
602	SS-602	ASEAN Championship	core	1	G1:CORE взрослые мужские
611	SS-611	Northern Ireland Football League Cup	core	1	G1:CORE взрослые мужские
615	SS-615	Korean Cup	core	1	G1:CORE взрослые мужские
622	SS-622	Gulf Cup	core	1	G1:CORE взрослые мужские
626	SS-626	V-League 1	core	1	G1:CORE взрослые мужские
629	SS-629	VBET Malta Premier	core	1	G1:CORE взрослые мужские
630	SS-630	Challenge League	core	1	G1:CORE взрослые мужские
633	SS-633	Maltese FA Trophy	core	1	G1:CORE взрослые мужские
634	SS-634	Singapore Premier League	core	1	G1:CORE взрослые мужские
637	SS-637	African Nations Championship	core	1	G1:CORE взрослые мужские
649	SS-649	Chinese Super League	core	1	G1:CORE взрослые мужские
655	SS-655	Singapore Cup	core	1	G1:CORE взрослые мужские
668	SS-668	AFC Champions League Two	core	1	G1:CORE взрослые мужские
671	SS-671	Armenian Premier League	core	1	G1:CORE взрослые мужские
672	SS-672	Armenian 1st League	core	1	G1:CORE взрослые мужские
673	SS-673	Faroe Islands Premier League	core	1	G1:CORE взрослые мужские
674	SS-674	Faroe Islands 1. Deild	core	1	G1:CORE взрослые мужские
675	SS-675	Iceland 1. deild	core	1	G1:CORE взрослые мужские
676	SS-676	Pirma Lyga	core	1	G1:CORE взрослые мужские
677	SS-677	1.Liga	core	1	G1:CORE взрослые мужские
678	SS-678	Esiliiga	core	1	G1:CORE взрослые мужские
679	SS-679	UEFA Europa League	core	1	G1:CORE взрослые мужские
682	SS-682	Kazakhstan Premier League	core	1	G1:CORE взрослые мужские
685	SS-685	Moldovan Super Liga	core	1	G1:CORE взрослые мужские
690	SS-690	Division Nationale	core	1	G1:CORE взрослые мужские
691	SS-691	Persha Liha	core	1	G1:CORE взрослые мужские
692	SS-692	Cypriot 2nd Division	core	1	G1:CORE взрослые мужские
698	SS-698	Supercupa României	core	1	G1:CORE взрослые мужские
701	SS-701	NIFL Championship	core	1	G1:CORE взрослые мужские
703	SS-703	Primera Nacional	core	1	G1:CORE взрослые мужские
704	SS-704	Erovnuli Liga	core	1	G1:CORE взрослые мужские
709	SS-709	Misli Premier League	core	1	G1:CORE взрослые мужские
710	SS-710	Moldovan Liga 1	core	1	G1:CORE взрослые мужские
715	SS-715	M:tel Prva liga Republike Srpske	core	1	G1:CORE взрослые мужские
716	SS-716	Prva Liga, Federacije BiH	core	1	G1:CORE взрослые мужские
717	SS-717	Meridianbet 2. CFL	core	1	G1:CORE взрослые мужские
