id	name	country	confederation	tier	class	route	live	current_saison_id	step2_saison_ids	fotmob_id	sofascore_id	fbref_id	reason
CA49	Campeonato Sudamericano 1949	International	Americas	international	archive	pokal	0	1948					rule:national team (review C9-F4, registry says club cup); archive: current edition 1949 is not live
CA53	Campeonato Sudamericano 1953	International	Americas	international	archive	pokal	0	1952					rule:national team (review C9-F4, registry says club cup); archive: current edition 1953 is not live
CA55	Campeonato Sudamericano 1955	International	Americas	international	archive	pokal	0	1954					rule:national team (review C9-F4, registry says club cup); archive: current edition 1955 is not live
CA56	Campeonato Sudamericano 1956	International	Americas	international	archive	pokal	0	1955					rule:national team (review C9-F4, registry says club cup); archive: current edition 1956 is not live
CA57	Campeonato Sudamericano 1957	International	Americas	international	archive	pokal	0	1956					rule:national team (review C9-F4, registry says club cup); archive: current edition 1957 is not live
CA63	Campeonato Sudamericano 1963	International	Americas	international	archive	pokal	0	1962					rule:national team (review C9-F4, registry says club cup); archive: current edition 1963 is not live
CA67	Campeonato Sudamericano 1967	International	Americas	international	archive	pokal	0	1966					rule:national team (review C9-F4, registry says club cup); archive: current edition 1967 is not live
CACG	Central American and Caribbean Games	International	Americas	international	youth	pokal	1	2025					rule:youth games
CACP	Copa América Centenario Play-In	International	Americas	international	archive	pokal	0	2015	2015				rule:national team (review C9-F4, registry says club cup); archive: current edition 2016 is not live
CAFA	CAFA Nations Cup	International	AFC	international	core_national	pokal	1	2024			28858		rule:national team (review C9-F4, registry says club cup)
CAFC	CAF Confederation Cup	International	CAF	international	core_club	pokal	1	2025					rule:default
CAFS	CAF-Supercup	International	CAF	international	core_club	pokal	1	2026					rule:default
CAN	Canadian Championship	Canada	Americas	cup	core_club	pokal	1	2025		9837	9230		rule:default
CARQ	Caribbean Cup Qualifikation	International	Americas	international	archive	pokal	0	2016	2016				rule:national team (review C9-F4, registry says club cup); archive: current edition 16/17 is not live
CB20	CBF Brasileiro U20	Brazil	Americas	youth	youth	pokal	1	2025					rule:youth
CC89	CONCACAF Championship (- 1989)	International	Americas	international	archive	pokal	0	1988					rule:national team (review C9-F4, registry says club cup); archive: current edition 1989 is not live
CC92	1992 King Fahd Cup	International	FIFA	international	archive	pokal	0	1991					rule:national team (review C9-F4, registry says club cup); archive: current edition 91/92 is not live
CC95	König-Fahd-Pokal 1995	International	FIFA	international	archive	pokal	0	1994					rule:national team (review C9-F4, registry says club cup); archive: current edition 1995 is not live
CCAC	CONCACAF Central American Cup	International	Americas	international	core_club	pokal	1	2026		9682	20695		rule:default
CCC1	CONCACAF Caribbean Cup	International	Americas	international	core_club	pokal	1	2026			20931		rule:default
CCCF	Campeonato Centroamericano y del Caribe	International	Americas	international	archive	pokal	0	1960					rule:national team (review C9-F4, registry says club cup); archive: current edition 1961 is not live
CCL	CONCACAF Champions Cup	International	Americas	international	core_club	pokal	1	2025		297	498		rule:default
CCLS	CFU Club Shield	International	Americas	international	core_club	pokal	1	2026			20785		rule:default
CCPL	CONCACAF Cup	International	Americas	international	archive	pokal	0	2015	2015				rule:national team (review C9-F4, registry says club cup); archive: current edition 15/16 is not live
CDN1	Canadian Premier League	Canada	Americas	1	core_club	wettbewerb	1	2025	2019,2020,2021,2022,2023		13470		rule:default
CDR	Copa del Rey	Spain	UEFA	cup	core_club	pokal	1	2026		138	329		rule:default
CEF1	Copa Federation	Spain	UEFA	cup	core_club	pokal	1	2026					rule:default
CENC	UNCAF Nations Cup	International	Americas	international	archive	pokal	0	2016	2016				rule:national team (review C9-F4, registry says club cup); archive: current edition 2017 is not live
CEQ	UNCAF Nations Cup-Qualifikation	International	Americas	international	archive	pokal	0	1996					rule:national team (review C9-F4, registry says club cup); archive: current edition 1997 is not live
CF17	CAFA U17 Championship	International	AFC	international	youth	pokal	1	2025					rule:youth
CF20	CAFA U20 Championship	International	AFC	international	youth	pokal	1	2025					rule:youth
CGB	EFL Cup	England	UEFA	cup	core_club	pokal	1	2026		133	21		rule:default
CH17	Swiss U17 Elite League	Switzerland	UEFA	youth	youth	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:youth
CH1C	Copa Chile	Chile	Americas	cup	core_club	pokal	1	2025		9091	1221		rule:default
CHAN	African Nations Championship	International	CAF	international	core_national	pokal	1	2024		9428	637		rule:national team (review C9-F4, registry says club cup)
CHC1	1. Liga Classic group 1	Switzerland	UEFA	4	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:default
